Station Name,Measurement Timestamp,Wind Direction,Wind Speed,Maximum Wind Speed,Heading
63rd Street Weather Station,2021-07-27 03:00:00.172741,252,2.2,3.1,351.0
Foster Weather Station,2021-10-07 19:59:59.633003,0,3.3,0.0,
Foster Weather Station,2021-11-04 07:59:59.303636,0,3.3,0.0,
Oak Street Weather Station,2021-09-17 09:00:00.393596,314,0.9,1.6,358.0
63rd Street Weather Station,2021-06-23 06:59:59.684624,250,4.0,6.7,351.0
63rd Street Weather Station,2021-06-12 13:59:59.285388,87,3.0,4.4,351.0
Oak Street Weather Station,2021-11-14 03:00:00.591464,281,1.8,4.2,357.0
Foster Weather Station,2021-06-24 18:59:59.472924,0,3.3,0.0,
63rd Street Weather Station,2021-09-29 23:00:00.656830,122,0.5,0.6,351.0
Oak Street Weather Station,2021-11-14 14:59:59.353169,318,1.6,3.4,357.0
Oak Street Weather Station,2021-08-19 13:59:59.920521,86,0.9,1.5,358.0
Oak Street Weather Station,2021-11-24 11:59:59.487688,297,0.8,1.7,357.0
Foster Weather Station,2021-11-26 11:59:59.485231,0,3.3,0.0,
Foster Weather Station,2021-12-07 19:00:00.456330,0,3.3,0.0,
63rd Street Weather Station,2021-06-06 19:00:00.674200,191,4.7,8.7,351.0
Oak Street Weather Station,2021-10-19 17:59:59.536255,0,0.0,1.2,357.0
Foster Weather Station,2021-11-20 01:59:59.742989,0,3.3,0.0,
Oak Street Weather Station,2021-07-25 15:59:59.679599,108,1.4,2.7,358.0
Foster Weather Station,2021-06-15 09:00:00.708463,0,3.3,0.0,
Foster Weather Station,2021-12-16 19:59:59.846841,0,3.3,0.0,
Foster Weather Station,2021-10-28 12:59:59.643470,0,3.3,0.0,
Foster Weather Station,2021-09-22 14:59:59.616454,0,3.3,0.0,
Foster Weather Station,2021-12-07 17:59:59.817995,0,3.3,0.0,
Foster Weather Station,2021-06-29 05:00:00.186273,0,3.3,0.0,
Foster Weather Station,2021-05-31 16:00:00.394610,0,3.3,0.0,
