Station Name,Measurement Timestamp,Air Temperature,Wet Bulb Temperature
Oak Street Weather Station,2021-09-14 17:00:00.068776,29.6,20.7
Foster Weather Station,2021-12-06 11:00:00.108683,-0.67,
Oak Street Weather Station,2021-08-14 06:59:59.351006,22.4,18.8
Foster Weather Station,2021-09-12 09:59:59.240940,25.28,
Oak Street Weather Station,2021-06-16 17:59:59.626758,18.2,14.5
Oak Street Weather Station,2021-07-22 04:00:00.277430,20.8,18.8
63rd Street Weather Station,2021-05-27 20:59:59.158343,13.9,12.1
Oak Street Weather Station,2021-11-22 16:00:00.187701,2.6,-2.3
63rd Street Weather Station,2021-10-28 18:59:59.599868,13.8,13.0
Foster Weather Station,2021-07-26 16:00:00.265272,26.78,
Foster Weather Station,2021-08-03 19:00:00.286924,24.06,
Oak Street Weather Station,2021-08-24 19:00:00.789109,23.8,22.8
Foster Weather Station,2021-09-04 09:00:00.553419,20.56,
Foster Weather Station,2021-05-19 09:00:00.043378,12.78,
63rd Street Weather Station,2021-08-30 13:59:59.242191,24.4,20.2
Foster Weather Station,2021-09-03 12:00:00.223951,22.39,
63rd Street Weather Station,2021-07-30 20:00:00.198273,20.0,16.8
Foster Weather Station,2021-10-20 08:59:59.990794,15.06,
63rd Street Weather Station,2021-06-18 17:59:59.886314,25.8,22.8
63rd Street Weather Station,2021-07-14 17:00:00.801267,27.8,22.8
63rd Street Weather Station,2021-08-10 02:00:00.779132,26.0,24.3
Oak Street Weather Station,2021-08-29 17:59:59.658063,27.8,23.7
Foster Weather Station,2021-10-23 21:00:00.708390,10.17,
Foster Weather Station,2021-06-13 23:00:00.721895,24.28,
Oak Street Weather Station,2021-07-22 07:59:59.943132,21.9,19.9
63rd Street Weather Station,2021-10-05 03:59:59.505347,19.1,18.5
Foster Weather Station,2021-07-25 14:00:00.720375,27.5,
63rd Street Weather Station,2021-08-26 08:00:00.653945,24.5,22.2
Oak Street Weather Station,2021-11-28 19:00:00.588494,3.2,-1.2
Foster Weather Station,2021-07-01 10:00:00.765401,19.0,
Oak Street Weather Station,2021-10-05 04:00:00.314534,19.4,17.7
63rd Street Weather Station,2021-05-25 01:59:59.317679,24.2,18.5
63rd Street Weather Station,2021-11-05 07:59:59.761390,2.6,0.8
63rd Street Weather Station,2021-10-01 10:59:59.739395,24.3,19.1
Oak Street Weather Station,2021-08-18 00:59:59.769139,23.9,21.9
63rd Street Weather Station,2021-09-25 00:59:59.731958,14.0,13.1
Oak Street Weather Station,2021-08-26 00:00:00.894524,23.2,21.5
63rd Street Weather Station,2021-08-29 19:59:59.605887,27.9,24.2
Oak Street Weather Station,2021-11-10 04:00:00.104879,11.4,9.1
Oak Street Weather Station,2021-10-29 03:59:59.302109,13.6,13.0
Foster Weather Station,2021-12-08 07:59:59.262503,-2.78,
Oak Street Weather Station,2021-07-08 22:59:59.609064,18.4,15.1
