Station Name,Measurement Timestamp,Rain Intensity,Interval Rain,Total Rain
Oak Street Weather Station,2021-06-29 17:59:59.384607,0.0,0.0,108.2
Foster Weather Station,2021-11-10 19:00:00.012514,,0.0,
Foster Weather Station,2021-11-10 18:00:00.645656,,0.0,
63rd Street Weather Station,2021-07-11 10:00:00.537316,10.2,4.5,254.5
63rd Street Weather Station,2021-12-15 21:00:00.369090,0.0,0.0,33.0
63rd Street Weather Station,2021-11-25 19:00:00.299572,0.0,0.0,107.2
Foster Weather Station,2021-11-02 06:59:59.796354,,0.0,
Foster Weather Station,2021-12-14 05:59:59.222011,,0.0,
Foster Weather Station,2021-07-08 02:59:59.904601,,0.0,
63rd Street Weather Station,2021-11-27 13:59:59.635968,0.0,0.0,107.4
Oak Street Weather Station,2021-07-07 09:00:00.124071,0.0,0.0,112.6
Oak Street Weather Station,2021-06-09 08:59:59.760901,0.0,0.0,16.1
Oak Street Weather Station,2021-11-15 11:00:00.171213,0.0,0.0,36.8
Oak Street Weather Station,2021-10-15 10:00:00.648967,0.0,0.0,269.0
Foster Weather Station,2021-10-02 07:00:00.528275,,0.03,
Foster Weather Station,2021-10-16 22:59:59.499330,,0.0,
Oak Street Weather Station,2021-07-15 09:00:00.668233,0.0,0.1,131.2
63rd Street Weather Station,2021-08-26 02:00:00.420364,0.0,0.0,482.1
63rd Street Weather Station,2021-06-06 13:59:59.573383,0.0,0.0,3.5
Foster Weather Station,2021-11-30 21:59:59.243497,,0.0,
63rd Street Weather Station,2021-09-07 08:00:00.381499,0.0,0.0,489.5
Foster Weather Station,2021-11-22 09:00:00.067230,,0.0,
63rd Street Weather Station,2021-06-24 18:59:59.896160,0.0,0.2,42.2
Oak Street Weather Station,2021-07-09 01:59:59.928209,0.0,0.0,114.7
Foster Weather Station,2021-09-14 09:59:59.663553,,0.0,
63rd Street Weather Station,2021-07-31 12:59:59.359726,0.0,0.0,324.2
Foster Weather Station,2021-12-07 00:59:59.644211,,0.0,
